weight_value,configuration_count,best_ndcg10,mean_ndcg10,std_ndcg10,best_ndcg5,mean_spearman,mean_mae,best_spearman,best_mae
0.0,66,0.8634317377540522,0.8220738207780922,0.031890052660209035,0.851826437108253,0.7732675526176117,0.8343715257454909,0.9110432356743388,0.6746970321991914
0.1,55,0.8634317377540522,0.8296454070220384,0.014586026312379525,0.8698687319194839,0.7871437826442355,0.8433212206188433,0.9110432356743388,0.6906032887955978
0.2,45,0.8793433720438693,0.8333091897308982,0.016424266618910194,0.8698687319194839,0.790460712173608,0.8535873718102636,0.9110432356743388,0.7066427332615438
0.3,36,0.8793433720438693,0.8351806083623303,0.018123868924753334,0.8698687319194839,0.7928832392960091,0.8655902205695143,0.9021441564491928,0.7229798176840435
0.4,28,0.862008287055506,0.8365723870608743,0.018396727351065168,0.8698687319194839,0.7920975071025191,0.8798056004959164,0.8876831527083301,0.740391281539415
0.5,21,0.8611426338585058,0.83682629192602,0.018434753502482273,0.8698687319194839,0.7962027371022145,0.8968962741918043,0.882121228192614,0.7612819969313875
0.6,15,0.8611426338585058,0.8374579502370907,0.01917787434789371,0.8698687319194839,0.7960226366893246,0.9181167362973126,0.8732221489674676,0.7953730881886865
0.7,10,0.8593535250036998,0.8325768851334363,0.01766177833225096,0.8698687319194839,0.7881247038770075,0.9438754833156338,0.8454125263888859,0.8508800765469715
0.8,6,0.8455351416866129,0.8294560171956754,0.01479287089903006,0.8138242452848412,0.7742198925877166,0.9713082731906404,0.8020295151662985,0.9097500049335048
0.9,3,0.8176333098416488,0.8154590070137986,0.0015380743384344367,0.7843762699362018,0.7516013995571367,0.9984135540245053,0.7775570472971464,0.9686199333200382
1.0,1,0.690669240365442,0.690669240365442,0.0,0.6681964713107739,0.6396213193073808,1.0274898617065715,0.6396213193073808,1.0274898617065715
