weight_value,configuration_count,best_ndcg10,mean_ndcg10,std_ndcg10,best_ndcg5,mean_spearman,mean_mae,best_spearman,best_mae
0.0,66,0.8611426338585058,0.8249340549155915,0.035715063678330175,0.8698687319194839,0.7554248851533523,0.9979832273240505,0.8732221489674676,0.7608041855129859
0.1,55,0.8611426338585058,0.8310559160737151,0.015315919388271804,0.8698687319194839,0.780558610307842,0.9298471092704461,0.8732221489674676,0.7359339544598923
0.2,45,0.8793433720438693,0.832294214162073,0.017211731595309584,0.8698687319194839,0.7933135402577094,0.8681572729803151,0.9021441564491928,0.7110637234067987
0.3,36,0.8793433720438693,0.8339139168590477,0.01932198306728679,0.8698687319194839,0.7999100274331372,0.813553381433514,0.9110432356743388,0.6888747056318917
0.4,28,0.8793433720438693,0.833667553119068,0.019766820918342108,0.8698687319194839,0.8013703171866429,0.7686403231328601,0.9110432356743388,0.6746970321991914
0.5,21,0.8634317377540522,0.8326729505165172,0.01832764156977277,0.851826437108253,0.8022099987202276,0.7379270720299276,0.9110432356743388,0.6753751460956195
0.6,15,0.8611426338585058,0.8306338300950589,0.017463709274827707,0.8698687319194839,0.8030979410707709,0.7232121652360329,0.8732221489674676,0.6821623604123854
0.7,10,0.8574670263058242,0.8297521813576043,0.018029213084994767,0.851826437108253,0.8059681623196081,0.7171503804760248,0.8676602244517513,0.6903561564082267
0.8,6,0.8600710707188142,0.830109377774019,0.020238249674111534,0.8698687319194839,0.8089647220561954,0.7153895178713933,0.8676602244517513,0.6985499524040678
0.9,3,0.843441890713883,0.8235936010227797,0.01702756354280388,0.851826437108253,0.8032543130780193,0.7151635311335718,0.8531992207108888,0.706743748399909
1.0,1,0.7864309985255398,0.7864309985255398,0.0,0.5917973664126421,0.7642971698740139,0.7149375443957502,0.7642971698740139,0.7149375443957502
