weight_value,configuration_count,best_ndcg10,mean_ndcg10,std_ndcg10,best_ndcg5,mean_spearman,mean_mae,best_spearman,best_mae
0.0,66,0.8611426338585058,0.8415162852780845,0.02316658717884154,0.8698687319194839,0.8276157125054812,0.7861051753908659,0.8732221489674676,0.6753751460956195
0.1,55,0.8793433720438693,0.8457926421148468,0.016376325777339915,0.8698687319194839,0.8566234077591969,0.7970844425069211,0.9110432356743388,0.6746970321991914
0.2,45,0.860776975702246,0.8313899051454271,0.014604280583620387,0.851826437108253,0.7852796492905636,0.8201338140838631,0.8676602244517513,0.6994442319052785
0.3,36,0.843441890713883,0.8231643494627072,0.01012597957401153,0.851826437108253,0.7441362843727592,0.8539086284258249,0.7897932812317223,0.7315564881492702
0.4,28,0.8259349581299807,0.8181427588712294,0.00743780973919249,0.7843762699362018,0.7347861351270671,0.8987162150431866,0.759758888846854,0.7645812373213798
0.5,21,0.8259349581299807,0.8172510485559323,0.007841256469879852,0.7843762699362018,0.7320238084028546,0.9598717185422322,0.759758888846854,0.8171620486021358
0.6,15,0.8259349581299807,0.8159543434197088,0.008333039716694319,0.7843762699362018,0.7279007216182858,1.032379512491661,0.759758888846854,0.8843496143792575
0.7,10,0.8259349581299807,0.8141633497792358,0.008958306058203108,0.7843762699362018,0.7209819557194621,1.1103825951121375,0.759758888846854,0.9991760663797624
0.8,6,0.8239977417932889,0.8114938911268762,0.009763488912815083,0.7843762699362018,0.7077376958701581,1.18840321155624,0.7541969643311377,1.1142655257346563
0.9,3,0.8166465266879258,0.8052667981375267,0.009095409739192071,0.683692977204325,0.683896920439758,1.2664238280003424,0.7252749568494127,1.2293549850895504
1.0,1,0.6104703189203945,0.6104703189203945,0.0,0.5741043979319709,0.4670403356568722,1.3444444444444443,0.4670403356568722,1.3444444444444443
