weight_value,configuration_count,best_ndcg10,mean_ndcg10,std_ndcg10,best_ndcg5,mean_spearman,mean_mae,best_spearman,best_mae
0.0,66,0.8272670758424565,0.8061842807389644,0.029975723122364246,0.7867608030679949,0.724676557530308,0.919227213028248,0.8320639075511668,0.7149375443957502
0.1,55,0.8600710707188142,0.8311535381920748,0.01246303906723391,0.8698687319194839,0.7778806501780606,0.8951983240474091,0.8654354546454648,0.706743748399909
0.2,45,0.8611426338585058,0.8352685421836143,0.014360991143367367,0.8698687319194839,0.7971103019279534,0.87183088700593,0.882121228192614,0.6985499524040678
0.3,36,0.8793433720438693,0.8391814851092317,0.01818072209243943,0.8698687319194839,0.8081476321335861,0.8497156771341068,0.9021441564491928,0.6903561564082267
0.4,28,0.8793433720438693,0.8426448796852781,0.017357975788252412,0.8698687319194839,0.8193906652617843,0.8291365429232898,0.9110432356743388,0.6821623604123854
0.5,21,0.8634317377540522,0.841055627638576,0.014582492578344352,0.8698687319194839,0.8233767111647142,0.8112359044328619,0.9110432356743388,0.6746970321991914
0.6,15,0.862714192038938,0.8410166172493686,0.009473876384483007,0.851826437108253,0.8270210959902504,0.797504641976215,0.8965822319334764,0.6821249258637556
0.7,10,0.860776975702246,0.8431485196817601,0.006666083372089387,0.851826437108253,0.8336212464155672,0.7872305890002675,0.8676602244517513,0.6888747056318917
0.8,6,0.8594052411877203,0.8444432392064636,0.0068631090451836,0.851826437108253,0.8252042006484498,0.7785605500080153,0.8531992207108888,0.7110637234067987
0.9,3,0.843441890713883,0.8409914856787619,0.001732698016987763,0.851826437108253,0.8046250799402993,0.7694845809803047,0.8387382169700262,0.7359339544598923
1.0,1,0.8397662831612014,0.8397662831612014,0.0,0.8014847907423146,0.7875685114254358,0.7608041855129859,0.7875685114254358,0.7608041855129859
