metric,min,max,mean,median,std
ndcg@5,0.5741043979319709,0.8698687319194839,0.7688512803787596,0.7843762699362018,0.08238126874438674
ndcg@10,0.6104703189203945,0.8793433720438693,0.8302502952242065,0.8259349581299807,0.02351070757887614
ndcg@15,0.7321450963307848,0.8793433720438693,0.8383086343391877,0.8373647892864342,0.024382302772785944
spearman,0.4670403356568722,0.9110432356743388,0.7856762738506857,0.7825627793612911,0.06620057212834832
mae_0_to_3,0.6746970321991914,1.3444444444444443,0.8655745878239743,0.8396230869759652,0.13734166449371582
recall@5,0.6,1.0,0.8244755244755244,0.8,0.1382795300177424
