removed,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3
skill,0.0,0.0,0.0,0.0,0.018200738185363496,0.0014726577358624704,0.02892200748172513,-0.20372508639241504
experience,0.0,0.0,0.0,0.018042294811230875,0.01591163428981701,0.01591163428981701,-0.0088990792251461,0.04054538965494281
education,0.0,0.0,0.0,0.0,0.018200738185363496,0.0014726577358624704,0.02892200748172513,0.0004058925967492799
semantic,0.19999999999999996,0.0,0.0,0.08310792885148899,0.05207629620141274,0.035870238087153394,0.0723050187043125,-0.08013066633455224
