model,skill,experience,education,semantic,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3
full_tuned,0.4,0.2,0.1,0.3,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,0.7152424218541342
no_skill_frozen_renorm,0.0,0.33333333333333337,0.16666666666666669,0.5,1.0,1.0,1.0,0.8698687319194839,0.8600710707188142,0.8767991511683153,0.8587611452266052,0.8992562882189706
no_skill_reoptimized,0.0,0.5,0.1,0.4,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.9189675082465493
no_experience_frozen_renorm,0.5,0.0,0.125,0.37499999999999994,1.0,1.0,1.0,0.8404207565708445,0.8348667461386331,0.8515948265881342,0.8765593036768975,0.6851213941396548
no_experience_reoptimized,0.4,0.0,0.1,0.5,1.0,1.0,1.0,0.851826437108253,0.8634317377540522,0.8634317377540522,0.9110432356743389,0.6746970321991914
no_education_frozen_renorm,0.4444444444444445,0.22222222222222224,0.0,0.3333333333333333,0.8,1.0,1.0,0.8195270855535455,0.8583326795028244,0.8745387376170838,0.8654354546454648,0.7129653408556469
no_education_reoptimized,0.6,0.2,0.0,0.2,1.0,1.0,1.0,0.8698687319194839,0.8611426338585058,0.8778707143080068,0.8732221489674676,0.714836529257385
no_semantic_frozen_renorm,0.5714285714285715,0.28571428571428575,0.14285714285714288,0.0,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8255738528108971,0.7530845794279944,0.7414612695546372
no_semantic_reoptimized,0.4,0.6,0.0,0.0,0.8,1.0,1.0,0.7867608030679949,0.8272670758424565,0.8434731339567159,0.8298391377448803,0.7953730881886865
