w_skill,w_experience,w_education,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae_0_to_3
0.4,0.6,0.0,0.8,1.0,1.0,0.7867608030679949,0.8272670758424565,0.8434731339567159,0.8298391377448803,0.7953730881886865
0.5,0.5,0.0,0.8,1.0,1.0,0.7867608030679949,0.8265495301273421,0.8432776105768433,0.8298391377448803,0.7612819969313875
0.9,0.1,0.0,0.8,1.0,1.0,0.7867608030679949,0.8254779669876505,0.8422060474371517,0.8153781340040176,0.7230808328224089
0.8,0.2,0.0,0.8,1.0,1.0,0.7867608030679949,0.8254779669876505,0.8422060474371517,0.8153781340040176,0.7312241212490673
0.7,0.3,0.0,0.8,1.0,1.0,0.7867608030679949,0.8254779669876505,0.8422060474371517,0.8153781340040176,0.7393674096757259
0.6,0.4,0.0,0.8,1.0,1.0,0.7867608030679949,0.8254779669876505,0.8422060474371517,0.8153781340040176,0.7475106981023845
0.4,0.5,0.1,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8412753630472398,0.8320639075511668,0.7982903814314543
0.3,0.6,0.1,0.8,1.0,1.0,0.7843762699362018,0.8250693049329805,0.8408202770246759,0.8176029038103041,0.8492422014874255
0.7,0.2,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8405578173321255,0.8176029038103041,0.7319525890317146
0.6,0.3,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8405578173321255,0.8176029038103041,0.7400958774583731
0.5,0.4,0.1,0.8,1.0,1.0,0.7843762699362018,0.8243517592178661,0.8405578173321255,0.8176029038103041,0.7588834485721774
0.8,0.1,0.1,0.8,1.0,1.0,0.7843762699362018,0.8232801960781745,0.839486254192434,0.8031419000694416,0.723809300605056
0.2,0.7,0.1,0.8,1.0,1.0,0.7843762699362018,0.822325835903929,0.8380768079956245,0.8098162094883012,0.9081121298739587
0.1,0.8,0.1,0.8,1.0,1.0,0.7843762699362018,0.822325835903929,0.8376755211978854,0.7953552057474387,0.9669820582604922
0.3,0.7,0.0,0.6,1.0,1.0,0.7364191567020566,0.8208479992607235,0.837054057374983,0.8142657491008742,0.8508800765469715
0.2,0.8,0.0,0.6,1.0,1.0,0.7364191567020566,0.8208479992607235,0.8365989713524189,0.7998047453600118,0.9097500049335049
0.1,0.9,0.0,0.6,1.0,1.0,0.7364191567020566,0.8176333098416488,0.8333842819333441,0.7775570472971464,0.9686199333200382
0.0,0.9,0.1,0.8,1.0,1.0,0.7843762699362018,0.8144249066642134,0.8301758787559087,0.7363988058808453,1.0258519866470255
0.3,0.5,0.2,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.8593024161554714
0.3,0.4,0.3,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.8752791565344112
0.2,0.6,0.2,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9064742548144128
0.2,0.5,0.3,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9203144508794888
0.2,0.4,0.4,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9452920373295842
0.1,0.7,0.2,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9653441832009461
0.1,0.6,0.3,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9757632488047475
0.2,0.3,0.5,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,0.9786381048956128
0.1,0.5,0.4,0.6,1.0,1.0,0.6333513308383866,0.8112990132458844,0.8112990132458844,0.7241625719462694,1.0041506079364253
