method,recall@5,recall@10,recall@15,ndcg@5,ndcg@10,ndcg@15,spearman,mae,mae_0_to_3
rule_based,0.8,1.0,1.0,0.7797481355613946,0.9035952210540213,0.9035952210540213,0.4670403356568722,0.9688888888888889,
equal_mdms,0.8,1.0,1.0,0.7843762699362018,0.8259349581299807,0.8259349581299807,0.759758888846854,,0.8202332802108788
full_tuned,1.0,1.0,1.0,0.8698687319194839,0.8793433720438693,0.8793433720438693,0.9021441564491928,,0.7152424218541342
no_semantic_frozen,0.6,1.0,1.0,0.6333513308383866,0.8105814675307701,0.8255738528108971,0.7530845794279944,,0.7414612695546372
no_semantic_reoptimized,0.8,1.0,1.0,0.7867608030679949,0.8272670758424565,0.8434731339567159,0.8298391377448803,,0.7953730881886865
