method,recall_5,recall_10,recall_15,ndcg_5,ndcg_10,ndcg_15,spearman,mae_0_3
rule_based_v1,0.8,1.0,1.0,0.7797,0.9036,0.9036,0.467,0.9689
mdms_equal_v1,0.8,1.0,1.0,0.7844,0.8259,0.8259,0.7598,0.8202
mdms_tuned_v1,1.0,1.0,1.0,0.8699,0.8793,0.8793,0.9021,0.7152
